Algoritmo,tam_array,Tiempo(ms)
Bubble Sort,10000,226.125617
Quick Sort,10000,6.272599
Stooge Sort,10000,116759.350009
Radix Sort,10000,15.633363
Merge Sort,10000,5.360223
Bitonic Sort,10000,10.627104
Quick Sort,100000,9.247133
Radix Sort,100000,20.443342
Merge Sort,100000,15.038659
Bitonic Sort,100000,36.870302
Quick Sort,1000000,91.1531
Radix Sort,1000000,141.077135
Merge Sort,1000000,151.066054
Bitonic Sort,1000000,348.03093
Bubble Sort,10000,185.0
Quick Sort,10000,2.0
Stooge Sort,10000,96611.0
Radix Sort,10000,7.0
Merge Sort,10000,5.0
Bitonic Sort,10000,7.0
Quick Sort,100000,8.0
Radix Sort,100000,14.0
Merge Sort,100000,13.0
Bitonic Sort,100000,43.0
Quick Sort,1000000,95.0
Radix Sort,1000000,124.0
Merge Sort,1000000,147.0
Bitonic Sort,1000000,355.0
